t_index	term	df
620	ashkroft	1
621	ashok	1
622	ashor	2
623	ashraf	1
624	ashtray	1
625	asia	44
626	asian	16
627	asid	32
628	ask	256
629	aspect	11
630	aspir	2
631	assad	2
632	assail	4
633	assam	6
634	assassin	22
635	assault	43
636	assembl	20
637	assert	23
638	assess	58
639	asset	13
640	assign	31
641	assist	89
642	associ	140
643	assort	1
644	assum	49
645	assumpt	7
646	assur	38
647	assuredli	2
648	astakhov	38
649	asterisk	2
650	astonish	7
651	astound	2
652	astronom	1
653	astut	1
654	asylum	42
655	asymmetr	3
656	atal	15
657	atck	2
658	ate	4
659	atf	2
660	atfein	1
661	ath	1
662	athal	1
663	athlet	4
664	atlant	18
665	atlanta	10
666	atmat	1
667	atmospher	10
668	atom	4
669	atop	15
670	atp	3
671	atroc	12
672	atrophi	1
673	attach	16
674	attack	893
675	attain	1
676	attar	1
677	attempt	130
678	attend	81
679	attent	73
680	attest	3
681	attitud	12
682	attorney	82
683	attract	16
684	attribut	12
685	attrit	1
686	atwan	1
687	aubrey	20
688	aubri	5
689	audienc	18
690	audio	5
691	audiotap	1
692	auditor	5
693	auditorium	1
694	aug	38
695	augment	1
696	august	35
697	aunt	3
698	aur	6
699	aura	1
700	aurora	4
701	ausi	1
702	aussi	10
703	auster	2
704	austin	22
705	australia	33
706	australian	177
707	austria	4
708	austrian	1
709	austro	1
710	authent	2
711	author	395
712	authoritarian	29
713	auto	1
714	autocrat	36
715	autograph	2
716	autom	1
717	automat	18
718	automobil	5
719	autonom	1
720	autonomi	3
721	autopilot	1
722	autopsi	1
723	autumn	2
724	avail	47
725	avala	1
726	avalanch	1
727	ave	1
728	aveng	7
729	avent	1
730	avenu	8
731	averag	14
732	avert	6
733	aviat	3
734	aviv	7
735	avner	2
736	avoid	72
737	avow	1
738	aw	12
739	awad	2
740	await	30
741	awaken	2
742	awar	19
743	award	10
744	away	208
745	awe	4
746	aweigh	1
747	awkward	4
748	awn	4
749	awok	1
750	axam	1
751	axe	1
752	ay	2
753	ayatollah	1
754	aykroyd	1
755	ayman	5
756	aynaoui	2
757	ayr	1
758	ayyam	3
759	az	1
760	aziz	1
761	azul	1
762	azulay	3
763	ba	2
764	babenko	4
765	babi	22
766	babkin	25
767	baboa	2
768	back	594
769	backa	1
770	backbo	2
771	backcourt	1
772	backdrop	4
773	backer	23
774	backfir	5
775	background	5
776	backhand	20
777	backho	1
778	backlash	3
779	backstop	2
780	backup	2
781	backward	3
782	backyard	1
783	bacon	41
784	bad	42
785	badawi	2
786	badg	3
787	badli	41
788	badrasen	6
789	baffl	2
790	bag	14
791	bagad	1
792	baggag	2
793	baghbel	1
794	baghdad	3
795	bahg	5
796	bahrain	54
797	bai	1
798	baijubahi	2
799	bail	4
800	bailey	8
801	baird	2
802	bairnt	1
803	bait	1
804	bakarec	3
805	bake	2
806	baken	4
807	baker	7
808	bakhshish	1
809	bakri	8
810	balanc	23
811	balawat	2
812	balcacer	2
813	balconi	11
814	bald	1
815	balint	1
816	balk	4
817	balkan	45
818	ball	41
819	ballard	2
820	ballast	3
821	ballena	1
822	ballist	2
823	ballo	1
824	balloon	3
825	ballot	109
826	ballroom	2
827	balonia	1
828	balsamo	1
829	baltimor	7
830	baltin	2
831	bamba	6
832	bambi	2
833	bamboo	4
834	bament	1
835	ban	31
836	banco	1
837	band	21
838	bandag	18
839	bandanna	3
840	bandit	1
841	bang	7
842	bangalor	1
843	bangaru	3
844	bangladesh	8
845	bank	96
846	banker	10
847	bankrupt	6
848	bankruptci	6
849	banner	9
850	bannon	1
851	banquet	1
852	baptist	6
853	bar	66
854	barak	14
855	barb	4
856	barbar	2
857	barbara	28
858	barber	1
859	barbershop	1
860	barcelona	1
861	bare	50
862	barefacedli	1
863	barent	47
864	barg	4
865	bargain	13
866	bari	1
867	bark	1
868	barkina	4
869	barkolla	1
870	barkova	5
871	barna	4
872	barney	1
873	barnstorm	1
874	barot	1
875	barov	1
876	barr	3
877	barrack	36
878	barrag	2
879	barrel	2
880	barrera	4
881	barri	1
882	barricad	23
883	barrier	16
884	bartlett	2
885	barua	8
886	base	294
887	basebal	10
888	baselin	21
889	basement	1
890	basher	1
891	bashraheel	1
892	bashrahel	1
893	basi	16
894	basic	52
895	basilica	1
896	bask	2
897	basket	3
898	basketbal	1
899	basset	1
900	bassiouni	1
901	bastion	6
902	batch	1
903	bath	8
904	bathroom	3
905	bathtub	2
906	batic	2
907	baton	4
908	battalion	3
909	batten	1
910	batter	8
911	batteri	2
912	battl	92
913	battlefield	4
914	battleground	9
915	bauman	7
916	bautista	1
917	bavaria	1
918	bay	8
919	bazaar	1
920	bbc	39
921	be	1
922	beach	17
923	beachfront	1
924	bead	1
925	beal	2
926	beam	16
927	bean	3
928	bear	26
929	beard	21
930	bearer	2
931	beat	196
932	beaten	35
933	beater	3
934	beaumont	1
935	beauti	6
936	beaver	2
937	becam	122
938	becausec	1
939	beci	2
940	becker	2
941	becom	144
942	bed	39
943	bedanova	3
944	bedi	34
945	bedouin	1
946	bedroom	6
947	bedsheet	1
948	beef	6
949	beer	2
950	befit	1
951	befriend	1
952	befuddl	1
953	beg	4
954	began	216
955	beggar	1
956	begin	176
957	begun	35
958	behalf	9
959	behan	1
960	behari	3
961	behav	9
962	behavior	11
963	behind	193
964	beholden	3
965	beij	4
966	beirut	10
967	bekki	3
968	belaru	1
969	belch	1
970	beleagu	3
971	belgian	8
972	belgium	7
973	belgrad	336
974	beli	1
975	belida	6
976	belief	19
977	believ	445
978	belittl	1
979	bell	4
980	belliger	1
981	belong	35
982	belov	5
983	belt	8
984	bema	2
985	bemoan	1
986	ben	8
987	bench	6
988	benchmark	1
989	bend	2
990	beneath	34
991	benefactor	2
992	benefici	1
993	beneficiari	2
994	benefit	20
995	benevol	7
996	benign	1
997	benin	8
998	benito	1
999	benjamin	2
1000	bennett	1
1001	benni	2
1002	bent	13
1003	benton	1
1004	bequeath	1
1005	berat	1
1006	bere	1
1007	beresich	3
1008	beretta	1
1009	bergen	1
1010	berger	52
1011	berlin	9
1012	bernstein	2
1013	bershard	1
1014	bershevski	1
1015	berth	2
1016	beschloss	1
1017	beset	2
1018	besid	29
1019	besieg	4
1020	bespectacl	2
1021	best	136
1022	bet	5
1023	beta	18
1024	beth	1
1025	betray	4
1026	betrisia	1
1027	better	168
1028	bevan	8
1029	beveneari	1
1030	bewild	1
1031	beyond	41
1032	bhaba	2
1033	bhachau	4
1034	bhagat	2
1035	bhakta	7
1036	bharatiya	3
1037	bharpi	3
1038	bhaskar	5
1039	bhat	2
1040	bhatt	1
1041	bhavesh	3
1042	bhowmik	1
1043	bhug	1
1044	bhuj	114
1045	bia	1
1046	biafran	2
1047	biarritz	3
1048	bias	9
1049	bibl	7
1050	biblic	1
1051	bicker	3
1052	bicycl	5
1053	bid	55
1054	bidanora	1
1055	big	93
1056	bigger	8
1057	biggest	43
1058	bigot	2
1059	bihari	12
1060	bilater	11
1061	bilingu	1
1062	bill	118
1063	billboard	2
1064	billet	1
1065	billi	7
1066	billion	69
1067	billionair	10
1068	billow	15
1069	biltera	1
1070	bimal	2
1071	bin	286
1072	bind	5
1073	bindra	5
1074	bingaman	2
1075	bingo	1
1076	binocular	5
1077	bio	1
1078	biogeneticist	1
1079	biograph	3
1080	biographi	4
1081	biolog	4
1082	bion	1
1083	bipartisan	2
1084	bipartisanship	1
1085	bird	9
1086	birger	1
1087	birth	9
1088	birthday	8
1089	birthmark	1
1090	birthplac	1
1091	biscuit	3
1092	bishop	3
1093	bit	52
1094	bite	2
1095	biter	1
1096	bitka	1
1097	bitten	1
1098	bitter	21
1099	bitterli	10
1100	bittersweet	2
1101	biw	1
1102	bizarr	10
1103	bjorn	1
1104	black	74
1105	blacken	4
1106	blackmail	5
1107	blackout	4
1108	blade	2
1109	blair	18
1110	blakemor	2
1111	blame	62
1112	blanchard	1
1113	blanco	17
1114	bland	1
1115	blanda	2
1116	blank	3
1117	blanket	44
1118	blankli	2
1119	blare	1
1120	blast	220
1121	blatant	2
1122	blaze	6
1123	bleach	2
1124	bleacher	1
1125	bleak	1
1126	bled	1
1127	bleed	3
1128	blemish	1
1129	blend	4
1130	bless	10
1131	blew	44
1132	blind	8
1133	blindli	5
1134	blink	3
1135	blister	2
1136	blitz	1
1137	blitzer	1
1138	blizzard	5
1139	bloat	4
1140	bloc	7
1141	block	120
1142	blockad	20
1143	blocker	1
1144	blocki	1
1145	blokosso	2
1146	blond	6
1147	blood	39
1148	bloodbath	3
1149	bloodi	8
1150	bloodiest	1
1151	bloodless	2
1152	bloodsh	12
1153	bloodstain	1
1154	bloomberg	1
1155	bloomer	1
1156	blous	1
1157	blow	25
1158	blown	11
1159	blowtorch	1
1160	blue	68
1161	blueprint	12
1162	bluf	5
1163	blunk	2
1164	blunt	2
1165	bluntli	2
1166	blur	2
1167	blurb	1
1168	blusteri	1
1169	blvd	1
1170	bnaibrith	1
1171	bo	5
1172	board	70
1173	boarder	5
1174	boardwalk	1
1175	boast	3
1176	boat	302
1177	boater	1
1178	boatmen	1
1179	bob	31
1180	bobbi	9
1181	bobic	2
1182	bodi	403
1183	bodien	1
1184	bodin	14
1185	bodon	1
1186	bodyguard	14
1187	boe	3
1188	bog	2
1189	boga	1
1190	bogg	2
1191	bogu	6
1192	bohdan	2
1193	boigni	11
1194	boil	1
1195	boister	1
1196	bojic	1
1197	bold	3
1198	boldli	1
1199	bolivia	1
1200	bolona	3
1201	bolster	13
1202	bolt	1
1203	bomb	630
1204	bombard	2
1205	bombay	7
1206	bomber	88
1207	bombet	2
1208	bombey	1
1209	bombmak	4
1210	bombshel	1
1211	bond	22
1212	bondjump	1
1213	bone	62
1214	bonecardi	2
1215	bonfir	3
1216	bonilla	2
1217	bonni	1
1218	bono	1
1219	bonu	1
1220	boo	4
1221	boobi	4
1222	book	32
1223	bookend	1
1224	boom	7
1225	boost	14
1226	booster	1
1227	boot	5
1228	booth	11
1229	bor	1
1230	border	70
1231	bore	4
1232	borg	1
1233	bori	7
1234	borisav	1
1235	borislav	4
1236	borisov	1
1237	borivoj	1
1238	bork	1
1239	borka	1
1240	born	57
1241	borneo	4
1242	borotra	1
1243	borrow	2
1244	borzon	2
1245	bosnia	40
1246	bosnian	11
1247	boss	10
1248	boston	20
1249	botch	5
1250	bother	9
1251	bottl	8
1252	bottom	29
1253	bouak	1
1254	boucher	11
1255	bouffard	1
1256	bought	11
1257	boulevard	1
1258	bounc	7
1259	bound	16
1260	boundari	2
1261	bounti	1
1262	bout	5
1263	bow	11
1264	bowel	2
1265	bowen	4
1266	bowl	1
1267	bowman	1
1268	bowmen	1
1269	bowrey	1
1270	box	29
1271	boxer	1
1272	boy	51
1273	boycot	30
1274	boycott	21
1275	boyd	2
1276	boyfriend	4
1277	bozov	5
1278	braca	2
1279	brace	4
1280	braci	3
1281	bracket	1
1282	brad	6
1283	bradi	1
1284	bradman	2
1285	bradshaw	1
1286	brag	4
1287	brain	2
1288	brainwash	3
1289	brake	1
1290	branch	10
1291	brand	6
1292	brandish	6
1293	brandon	1
1294	brash	2
1295	brass	4
1296	brave	6
1297	bravent	1
1298	braveri	2
1299	bravo	8
1300	brazen	1
1301	brazil	3
1302	brazilian	1
1303	breach	3
1304	bread	1
1305	breadbasket	2
1306	break	161
1307	breakaway	2
1308	breakdown	3
1309	breaker	1
1310	breakfast	6
1311	breakout	15
1312	breakthrough	16
1313	breakup	3
1314	breast	5
1315	breath	7
1316	breaux	1
1317	breed	5
1318	breez	6
1319	breme	1
1320	bremer	1
1321	brenton	2
1322	brevant	1
1323	brew	3
1324	brewer	1
1325	brian	17
1326	bribe	43
1327	briberi	10
1328	brick	16
1329	bride	1
1330	bridg	23
1331	bridgett	1
1332	brie	6
1333	brief	69
1334	briefli	24
1335	brien	1
1336	brig	1
1337	brigad	3
1338	bright	11
1339	brighten	2
1340	brighter	1
1341	brightest	2
1342	brightli	1
1343	brilliant	3
1344	brim	1
1345	bring	154
1346	brink	16
1347	brisk	1
1348	briskli	3
1349	bristl	3
1350	britain	45
1351	british	104
1352	briton	5
1353	broad	17
1354	broadcast	79
1355	broaden	2
1356	broader	10
1357	broadli	3
1358	broder	2
1359	brokaw	1
1360	broke	124
1361	broken	52
1362	broker	10
1363	brokerag	1
1364	bronco	1
1365	bronxvil	1
1366	bronz	2
1367	brood	1
1368	brook	3
1369	brooklyn	3
1370	broom	1
1371	brother	102
1372	brought	136
1373	brow	2
1374	brown	23
1375	broz	1
1376	bruce	1
1377	bruis	7
1378	brunei	27
1379	brunswick	1
1380	brunt	4
1381	brush	8
1382	brussel	8
1383	brutal	17
1384	bryan	4
1385	bryann	1
1386	bryant	2
1387	bt	1
1388	bu	27
1389	bubbl	2
1390	buccan	1
1391	buchanan	7
1392	buck	9
1393	bucket	4
1394	buckl	14
1395	bud	3
1396	budapest	1
1397	buddhist	1
1398	buddi	1
1399	budget	10
1400	budnev	1
1401	budor	1
1402	budsmen	1
1403	budva	1
1404	bueni	2
1405	buf	4
1406	buff	4
1407	buffalo	4
1408	buffer	1
1409	bug	7
1410	bugss	1
1411	build	415
1412	builder	6
1413	buildup	2
1414	built	37
1415	bulatov	8
1416	bulg	1
1417	bulgaria	3
1418	bulk	5
1419	bulkhead	6
1420	bulki	1
1421	bulldoz	38
1422	bullet	10
1423	bulletin	3
1424	bulletproof	4
1425	bulli	3
1426	bullzdoz	1
1427	bum	1
1428	bump	2
1429	bumper	5
1430	bumpi	1
1431	bunch	9
1432	bundl	1
1433	bungl	6
1434	bunk	5
1435	bunker	7
1436	bunkroom	1
1437	bunt	1
1438	buoy	7
1439	buraika	1
1440	burch	2
1441	burden	7
1442	bureau	40
1443	bureaucraci	4
1444	bureaucrat	9
1445	burglar	7
1446	burglari	9
1447	burgsmul	2
1448	buri	159
1449	burial	18
1450	burk	6
1451	burkhard	1
1452	burkina	10
1453	burkinab	1
1454	burkl	5
1455	burli	4
1456	burn	65
1457	burner	2
1458	burnt	3
1459	burri	1
1460	burst	10
1461	burton	8
1462	buse	20
1463	bush	496
1464	bushi	1
1465	bushnel	1
1466	busi	138
1467	busiest	1
1468	busili	1
1469	businessman	62
1470	businessmen	5
1471	buss	1
1472	bust	9
1473	bustamant	2
1474	bustl	5
1475	butcher	4
1476	butter	1
1477	button	5
1478	buttress	5
1479	buy	51
1480	buyer	3
1481	buzz	6
1482	bye	5
1483	bypass	6
1484	byrd	7
1485	ca	2
1486	cab	2
1487	cabana	1
1488	cabin	2
1489	cabinet	55
1490	cabl	6
1491	cacak	15
1492	cach	2
1493	cadav	1
1494	cadet	1
1495	caeti	2
1496	cafe	4
1497	cafetalon	1
1498	cafeteria	1
1499	cage	5
1500	cagl	1
1501	cahokia	3
1502	cairo	6
1503	caisson	1
1504	cake	5
1505	cal	2
1506	calam	5
1507	calamit	1
1508	calatrava	2
1509	calcul	11
1510	calculu	1
1511	calcutta	4
1512	calderon	2
1513	calena	1
1514	caley	1
1515	calhoun	1
1516	calib	4
1517	calif	8
1518	california	42
1519	calina	1
1520	calix	1
1521	call	614
1522	callahan	2
1523	callen	3
1524	caller	7
1525	callou	1
1526	callous	1
1527	calm	42
1528	calmli	1
1529	calvario	6
1530	calvert	1
1531	cambodia	7
1532	camden	1
1533	came	308
1534	camel	3
1535	camera	29
1536	cameraman	3
1537	cameroon	2
1538	camouflag	7
1539	camp	61
1540	campaign	346
1541	campbel	1
1542	campfir	3
1543	campground	1
1544	campu	2
1545	can	2
1546	canada	15
1547	canal	41
1548	canberra	1
1549	cancel	45
1550	cancer	63
1551	candid	273
1552	candidaci	17
1553	candiotti	4
1554	candl	3
1555	candlelight	4
1556	candor	2
1557	cane	2
1558	canist	2
1559	cannaday	3
1560	cannistraro	10
1561	cannon	4
1562	cannot	69
1563	canon	1
1564	canopi	2
1565	canton	1
1566	cantwel	4
1567	canva	3
1568	canvass	3
1569	cap	19
1570	capabl	34
1571	capac	17
1572	cape	2
1573	capit	226
1574	capitalist	2
1575	capitol	42
1576	capitul	1
1577	capp	1
1578	capriati	146
1579	capsul	2
1580	capt	34
1581	captain	45
1582	captiv	6
1583	captor	4
1584	captur	84
1585	car	137
1586	caraca	3
1587	carat	1
1588	caravan	3
1589	carbon	2
1590	card	35
1591	cardboard	1
1592	cardiopulmonari	1
1593	care	100
1594	career	60
1595	caretak	5
1596	carey	1
1597	cargo	14
1598	caribbean	2
1599	carin	1
1600	cario	1
1601	carjack	4
1602	carl	5
1603	carlo	31
1604	carlson	1
1605	carlton	1
1606	carman	1
1607	carmelo	2
1608	carmen	4
1609	carmodi	4
1610	carnahan	411
1611	carnahand	1
1612	carniv	1
1613	carol	7
1614	carolina	11
1615	carpent	12
1616	carper	16
1617	carpet	5
1618	carpetbagg	2
1619	carr	1
1620	carri	246
1621	carrier	27
1622	carrol	2
1623	carrot	2
1624	carson	5
1625	cart	1
1626	carter	10
1627	carthag	2
1628	carv	9
1629	carver	1
1630	case	303
1631	casetch	1
1632	cash	26
1633	cashier	1
1634	casino	1
1635	casket	23
1636	cast	61
1637	castellano	2
1638	castiel	2
1639	castil	2
1640	castleburi	9
1641	castro	16
1642	casual	2
1643	casualti	24
1644	cat	2
1645	cataclysm	1
1646	catalyst	1
1647	catastroph	13
1648	catcal	1
1649	catch	17
1650	cate	4
1651	categor	1
1652	categori	1
1653	caterpillar	3
1654	cathedr	1
1655	catherin	7
1656	cathi	1
1657	cathol	7
1658	catholicrelief	1
1659	cattl	4
1660	caucasian	2
1661	caught	50
1662	caus	180
1663	caution	19
1664	cautiou	20
1665	cautious	2
1666	cave	3
1667	cavern	1
1668	cavort	1
1669	cawl	3
1670	cayman	3
1671	cb	7
1672	cd	3
1673	ceas	18
1674	ceaselessli	2
1675	ceausescu	1
1676	cecil	1
1677	cedar	3
1678	cede	3
1679	cedomir	1
1680	cedric	6
1681	ceil	2
1682	celebr	99
1683	celebrateor	1
1684	celera	1
1685	celest	1
1686	cell	30
1687	cellblock	1
1688	cellphon	2
1689	cellular	10
1690	cement	9
1691	cemeteri	10
1692	censor	2
1693	censorship	3
1694	cent	1
1695	centcom	4
