447
t_index	tf-idf
29	0.006988
63	0.017947
73	0.009883
90	0.008462
117	0.008038
215	0.026355
220	0.008566
236	0.005203
247	0.008785
313	0.007275
330	0.017937
344	0.009437
362	0.008901
373	0.006087
374	0.016070
378	0.016793
437	0.012847
449	0.005387
451	0.011539
495	0.004882
516	0.007910
535	0.030677
561	0.013666
594	0.010247
600	0.025694
626	0.012028
678	0.007868
679	0.008038
689	0.011856
731	0.012212
768	0.003005
810	0.011122
833	0.015339
849	0.013366
852	0.014381
954	0.005528
990	0.010055
1018	0.010435
1060	0.013666
1098	0.011254
1122	0.014381
1203	0.012277
1345	0.012264
1360	0.007049
1397	0.017947
1448	0.014483
1466	0.014161
1474	0.014820
1479	0.009085
1521	0.006146
1539	0.008785
1562	0.008127
1657	0.014001
1704	0.008619
1727	0.007275
1738	0.014381
1740	0.005755
1770	0.014820
1785	0.019600
1807	0.021292
1812	0.004868
1816	0.015655
1836	0.018562
1874	0.021516
1892	0.009492
1893	0.032066
1956	0.087208
2030	0.015974
2075	0.010995
2078	0.012082
2091	0.012847
2103	0.006439
2105	0.063958
2108	0.007556
2120	0.010995
2159	0.008901
2216	0.016793
2251	0.008961
2264	0.004429
2276	0.005092
2296	0.007708
2356	0.009149
2371	0.013876
2386	0.014381
2414	0.011539
2417	0.007241
2426	0.017457
2433	0.011254
2458	0.008514
2478	0.006619
2479	0.013095
2525	0.015339
2584	0.011539
2596	0.011393
2625	0.016532
2628	0.004730
2656	0.007995
2675	0.005219
2677	0.013624
2699	0.005774
2746	0.007593
2820	0.012730
2856	0.012028
2902	0.008785
2982	0.007593
3003	0.013666
3015	0.012408
3079	0.009214
3189	0.007995
3217	0.014001
3268	0.005000
3298	0.014617
3299	0.030676
3330	0.005046
3359	0.003564
3398	0.006317
3403	0.022508
3418	0.008901
3470	0.005916
3483	0.015339
3488	0.009085
3498	0.014820
3521	0.008566
3557	0.008673
3595	0.006541
3597	0.007019
3599	0.025694
3624	0.012619
3691	0.016793
3707	0.007910
3718	0.005030
3723	0.030677
3756	0.004647
3767	0.011856
3802	0.013030
3816	0.006317
3874	0.012028
3884	0.004839
3887	0.008082
3889	0.009149
3912	0.009968
3915	0.007727
3959	0.007708
3984	0.016793
4045	0.018668
4140	0.006293
4142	0.028049
4153	0.007787
4175	0.007308
4223	0.028575
4226	0.008619
4316	0.008858
4327	0.014820
4351	0.011122
4352	0.007662
4358	0.017947
4359	0.012847
4360	0.011539
4393	0.011393
4406	0.009311
4442	0.005958
4444	0.007519
4447	0.012888
4458	0.013366
4498	0.006870
4499	0.010146
4515	0.012847
4548	0.004941
4566	0.014824
4653	0.010995
4671	0.005370
4689	0.065941
4701	0.014820
4761	0.013095
4777	0.008514
4795	0.010239
4800	0.009968
4817	0.010539
4899	0.010146
4910	0.021078
4936	0.006985
4960	0.016628
4967	0.004504
4996	0.007603
5012	0.012619
5013	0.008314
5036	0.008219
5042	0.013095
5103	0.009281
5106	0.010874
5169	0.013095
5185	0.012619
5191	0.008266
5222	0.012028
5243	0.006870
5257	0.019440
5319	0.010146
5321	0.014381
5366	0.008785
5376	0.006619
5385	0.009136
5419	0.009800
5423	0.011856
5510	0.008462
5551	0.008412
5580	0.011393
5604	0.013401
5623	0.010055
5625	0.011856
5676	0.008219
5776	0.014001
5796	0.002647
5801	0.006390
5836	0.004227
5839	0.011056
5964	0.025698
6001	0.002186
6003	0.005457
6006	0.004926
6031	0.013095
6047	0.013666
6050	0.014665
6061	0.009793
6067	0.006177
6074	0.015339
6146	0.016793
6155	0.003255
6163	0.009492
6173	0.016476
6244	0.008712
6257	0.014001
6270	0.007447
6287	0.008729
6320	0.043143
6390	0.015974
6402	0.009707
6429	0.004687
6445	0.003279
6495	0.009420
6501	0.019765
6580	0.010146
6621	0.007868
6631	0.005268
6691	0.014754
6707	0.012619
6722	0.009720
6724	0.012847
6728	0.011393
6771	0.007702
6784	0.014822
6800	0.035605
6806	0.032273
6821	0.019243
6860	0.005565
6945	0.003964
7003	0.012847
7035	0.004170
7036	0.010758
7061	0.015339
7090	0.014001
7095	0.012400
7155	0.010239
7168	0.023717
7197	0.010215
7212	0.004687
7254	0.005704
7269	0.008314
7274	0.004332
7283	0.017947
7304	0.004853
7422	0.016793
7465	0.015339
7476	0.003127
7477	0.002248
7529	0.005038
7543	0.011767
7550	0.010146
7575	0.014001
7652	0.005203
7690	0.010646
7725	0.022243
7740	0.012619
7745	0.009420
7827	0.029644
7836	0.009281
7853	0.005834
7877	0.012619
7903	0.006464
7913	0.015339
7944	0.013943
7997	0.009492
8002	0.013095
8010	0.015974
8016	0.042003
8060	0.010335
8074	0.011693
8102	0.011393
8109	0.011856
8131	0.012408
8158	0.004660
8163	0.008883
8187	0.015339
8215	0.011393
8217	0.006988
8244	0.003405
8316	0.029166
8361	0.016628
8372	0.006812
8404	0.006700
8432	0.010146
8439	0.012087
8465	0.005370
8569	0.018045
8616	0.007049
8676	0.015339
8716	0.009720
8760	0.011393
8768	0.008842
8810	0.017685
8827	0.008038
8859	0.013346
8873	0.010435
8881	0.006828
8884	0.009420
8898	0.015339
8913	0.016793
8952	0.006414
8972	0.016725
9025	0.009800
9041	0.012847
9044	0.009492
9066	0.011393
9090	0.009622
9120	0.012408
9178	0.014001
9223	0.008038
9258	0.004868
9264	0.004137
9329	0.013849
9330	0.054976
9414	0.010239
9424	0.009940
9436	0.001741
9504	0.011856
9519	0.014001
9559	0.005335
9564	0.015339
9566	0.003457
9569	0.004970
9615	0.012847
9616	0.005814
9666	0.008431
9683	0.011693
9693	0.010239
9701	0.014381
9711	0.009420
9767	0.004926
9789	0.008566
9795	0.006870
9856	0.011958
9889	0.003312
9911	0.009420
10014	0.010539
10057	0.009800
10102	0.006365
10208	0.015112
10210	0.005061
10277	0.010539
10278	0.014381
10304	0.005457
10310	0.012388
10384	0.003073
10410	0.015904
10412	0.015561
10452	0.010342
10468	0.007208
10493	0.007708
10522	0.009420
10552	0.007787
10568	0.006958
10589	0.009622
10611	0.007928
10623	0.012212
10633	0.019600
10671	0.011122
10678	0.009420
10715	0.022027
10741	0.003296
10749	0.013666
10752	0.011020
10789	0.012619
10810	0.015416
10840	0.006567
10875	0.012028
10916	0.016793
10951	0.004466
10971	0.013239
10972	0.011056
10979	0.003363
11058	0.003528
11071	0.003902
11073	0.012619
11086	0.008901
11094	0.004607
11097	0.005061
11145	0.015416
11162	0.014001
11257	0.010539
11310	0.008897
11382	0.015339
11414	0.008462
11452	0.030677
11458	0.013366
11487	0.015174
11587	0.017947
11615	0.007019
11625	0.003601
11717	0.012028
11765	0.015974
11767	0.169248
11768	0.036089
11769	0.008173
11809	0.015974
11817	0.049917
11839	0.015339
11840	0.016793
11915	0.013366
11917	0.003801
11918	0.014603
11962	0.008219
11965	0.003638
11985	0.011539
11999	0.012408
12009	0.012646
12012	0.005474
12039	0.004811
12065	0.006065
12112	0.018984
12121	0.011856
12168	0.005814
12174	0.012785
12192	0.009062
12193	0.006784
12220	0.008173
12252	0.009068
12278	0.021625
12280	0.011254
