163
t_index	tf-idf
8	0.028405
26	0.021490
105	0.022402
203	0.023631
335	0.040851
455	0.013092
489	0.037310
492	0.015927
495	0.015786
547	0.032531
677	0.020901
744	0.034503
790	0.039486
886	0.016168
977	0.024266
1055	0.024432
1123	0.116058
1146	0.046500
1354	0.053455
1374	0.037310
1584	0.080646
1585	0.022026
1601	0.108595
1649	0.038334
1740	0.037213
1967	0.058029
1969	0.013233
1984	0.033742
2012	0.046500
2066	0.076668
2067	0.208707
2097	0.022996
2127	0.021577
2150	0.036389
2285	0.060140
2286	0.058029
2453	0.023631
2462	0.020196
2535	0.071922
2564	0.066213
2628	0.015295
2796	0.057950
2830	0.022996
2974	0.030931
3060	0.049596
3111	0.021149
3119	0.054725
3225	0.058029
3253	0.047918
3440	0.012616
3451	0.057950
3542	0.046829
3581	0.090542
3631	0.035160
3800	0.020820
3811	0.018996
3879	0.026278
3915	0.008328
4011	0.029173
4022	0.014896
4048	0.041539
4098	0.028170
4102	0.012750
4151	0.095837
4226	0.027869
4259	0.151231
4335	0.020503
4406	0.020071
4442	0.019264
4498	0.022212
4612	0.031955
4640	0.147352
4790	0.059164
4822	0.011496
4850	0.046500
4862	0.051650
4967	0.029126
4990	0.050618
5105	0.032513
5306	0.022596
5333	0.019973
5376	0.021404
5510	0.027362
5555	0.041539
5801	0.041321
5827	0.027528
5836	0.013667
6027	0.038666
6048	0.016617
6050	0.023709
6056	0.026727
6143	0.019264
6207	0.014812
6215	0.028223
6223	0.021935
6245	0.025850
6251	0.029373
6256	0.034784
6464	0.044187
6551	0.031955
6650	0.030750
6750	0.106656
6765	0.018996
6860	0.017993
6916	0.021066
7012	0.058029
7035	0.026967
7197	0.016515
7254	0.009222
7477	0.029079
7529	0.016289
7562	0.042340
7815	0.057183
7978	0.020901
7998	0.068152
8044	0.028405
8158	0.060270
8707	0.026882
8769	0.043217
8779	0.058029
8881	0.011038
8933	0.018444
9116	0.140641
9264	0.013375
9329	0.003732
9436	0.016887
9537	0.018670
9662	0.056204
9889	0.010710
9914	0.017143
9995	0.015242
10231	0.100256
10305	0.054298
10317	0.020196
10384	0.029808
10420	0.021754
10507	0.030232
10570	0.019612
10630	0.027869
10742	0.019683
10752	0.017816
10808	0.020348
10837	0.017089
10901	0.044237
10917	0.020503
10979	0.021745
11058	0.011408
11092	0.043154
11153	0.080241
11310	0.023015
11625	0.011644
11669	0.071922
11700	0.028781
11862	0.095837
11917	0.012291
11965	0.011763
11979	0.024552
11994	0.009716
12012	0.017701
12154	0.039486
12201	0.058029
12252	0.005864
12261	0.051151
