101
t_index	tf-idf
198	0.246290
344	0.013056
374	0.035572
422	0.048933
584	0.088398
705	0.060176
706	0.127963
888	0.065607
912	0.041410
931	0.082424
1027	0.034826
1533	0.024106
1578	0.054690
1673	0.067579
1708	0.046551
1935	0.178598
2078	0.022288
2175	0.045227
2628	0.013089
2699	0.031954
2702	0.069130
3100	0.050991
3131	0.099179
3593	0.080146
3816	0.069915
3870	0.099315
4102	0.021821
4117	0.053358
4255	0.138832
4352	0.021201
4427	0.052475
4469	0.088010
4650	0.034309
4868	0.050629
4996	0.021036
5179	0.105875
5220	0.020711
5566	0.050275
5619	0.099315
6001	0.024194
6155	0.018010
6202	0.030002
6353	0.020551
6402	0.053717
6553	0.086184
6631	0.029155
6642	0.057195
6659	0.025422
7241	0.069833
7251	0.063908
7320	0.049258
7459	0.043772
7500	0.045660
7543	0.043413
7718	0.057748
7853	0.032285
8035	0.056145
8104	0.033324
8214	0.035772
8538	0.058321
8707	0.046008
8714	0.073559
9329	0.019159
9570	0.090454
9632	0.055644
9655	0.024106
9664	0.055644
9897	0.047697
9910	0.049258
9916	0.054233
9940	0.092016
10078	0.066562
10164	0.035912
10298	0.052130
10310	0.009794
10429	0.058915
10482	0.076354
10552	0.043092
10670	0.082011
10865	0.104259
10954	0.032174
11024	0.082011
11027	0.012537
11047	0.096606
11058	0.058575
11078	0.050991
11094	0.025495
11130	0.095995
11310	0.029542
11487	0.016795
11720	0.053358
11759	0.032285
11994	0.033257
12009	0.046656
12086	0.031954
12093	0.092689
12101	0.039891
12145	0.073263
12156	0.099315
12252	0.020073
12275	0.099315
