71
t_index	tf-idf
107	0.090302
203	0.231706
374	0.025475
494	0.054914
1172	0.064061
1883	0.108316
1934	0.079699
1956	0.062838
2285	0.147421
2380	0.078086
2566	0.090302
2664	0.057927
2808	0.095336
2936	0.053326
3028	0.133100
3451	0.071026
3607	0.047730
3738	0.142053
3800	0.102074
3811	0.046564
3889	0.072514
4078	0.031669
4143	0.084383
4442	0.047223
4548	0.039160
4785	0.057396
5000	0.029665
5036	0.065144
5796	0.041965
5797	0.088152
6027	0.047391
6100	0.100020
6115	0.059598
6251	0.036002
6282	0.063367
6477	0.065517
6563	0.059598
7009	0.074665
7028	0.044547
7172	0.091459
7809	0.111749
7824	0.093968
7853	0.046242
7926	0.300060
8004	0.093968
8313	0.129555
8316	0.015412
8439	0.047901
8465	0.042560
8506	0.062694
8663	0.067480
8744	0.047901
9014	0.133100
9054	0.121576
9090	0.038131
9436	0.041395
9616	0.046082
9857	0.077677
10133	0.048959
10208	0.059890
10310	0.014027
10616	0.070551
10951	0.035400
10971	0.052467
11058	0.027965
11210	0.116394
11310	0.056417
11487	0.024055
11615	0.055630
12051	0.042155
12192	0.017957
