502
t_index	tf-idf
38	0.010979
68	0.005179
84	0.005049
103	0.005257
104	0.004978
105	0.017427
112	0.011458
117	0.006739
132	0.005357
141	0.009804
162	0.010403
203	0.006128
210	0.003964
230	0.004605
236	0.004362
262	0.005506
330	0.005013
335	0.005296
344	0.003956
373	0.020415
374	0.013474
390	0.012808
425	0.010085
455	0.003395
460	0.012058
481	0.009675
500	0.011458
514	0.008926
518	0.015047
587	0.004155
594	0.004296
744	0.004473
768	0.002519
818	0.017013
837	0.010771
857	0.018039
883	0.010580
886	0.004192
912	0.012548
928	0.009117
937	0.005595
954	0.004635
1031	0.008021
1049	0.025721
1062	0.006597
1098	0.009436
1104	0.027882
1129	0.012861
1138	0.012425
1141	0.012255
1160	0.007513
1306	0.005441
1315	0.012058
1360	0.005910
1371	0.006430
1372	0.005337
1411	0.008862
1432	0.015047
1460	0.010979
1463	0.165633
1466	0.005937
1489	0.033429
1521	0.005153
1533	0.007305
1540	0.004650
1541	0.015047
1575	0.017331
1585	0.011423
1620	0.004256
1625	0.015047
1696	0.004808
1723	0.009804
1727	0.006099
1740	0.004825
1753	0.010403
1757	0.004130
1785	0.008217
1795	0.016861
1812	0.004081
1870	0.007671
1874	0.009020
1894	0.006430
1899	0.006852
1956	0.036559
1969	0.003431
1972	0.008357
2004	0.011206
2039	0.007565
2043	0.011739
2078	0.003377
2084	0.005122
2114	0.012425
2120	0.009219
2144	0.009219
2170	0.007272
2179	0.005316
2184	0.007898
2192	0.010840
2193	0.007898
2259	0.007617
2261	0.012058
2276	0.004269
2280	0.011458
2371	0.006981
2377	0.010771
2380	0.008260
2471	0.007463
2478	0.016650
2539	0.005357
2556	0.021543
2588	0.032314
2620	0.007095
2628	0.005949
2675	0.004376
2677	0.005711
2692	0.021414
2699	0.009683
2703	0.013951
2736	0.012425
2755	0.016769
2761	0.011979
2779	0.004296
2827	0.008749
2847	0.011458
2898	0.005528
2936	0.005641
3023	0.008286
3057	0.008286
3058	0.008836
3108	0.008150
3111	0.016452
3132	0.007227
3175	0.007414
3179	0.009020
3201	0.007782
3299	0.006430
3306	0.014731
3330	0.004231
3333	0.012425
3340	0.010798
3344	0.013393
3359	0.014943
3360	0.012429
3440	0.013086
3450	0.008585
3479	0.008217
3504	0.010771
3514	0.013393
3516	0.009436
3521	0.007182
3557	0.007272
3567	0.011739
3589	0.005947
3592	0.012425
3597	0.005885
3628	0.008749
3641	0.012991
3659	0.004205
3660	0.015047
3684	0.007959
3707	0.006632
3718	0.004218
3756	0.011688
3788	0.031676
3811	0.004926
3817	0.006814
3879	0.006814
3884	0.004057
3891	0.010403
3894	0.013861
3915	0.010798
3930	0.014979
3936	0.007726
3972	0.007318
3980	0.010085
3990	0.007726
4022	0.007725
4045	0.002609
4076	0.007726
4078	0.010050
4094	0.007011
4096	0.007414
4098	0.003652
4105	0.014080
4149	0.014080
4175	0.006128
4305	0.010979
4316	0.007427
4335	0.010633
4352	0.006424
4377	0.004459
4395	0.013393
4406	0.007807
4407	0.009552
4427	0.003975
4436	0.033336
4439	0.015047
4442	0.009991
4453	0.012058
