318
t_index	tf-idf
103	0.009086
200	0.013354
210	0.013703
230	0.007960
326	0.010447
337	0.009155
344	0.003419
347	0.010592
372	0.026009
373	0.044110
374	0.013974
390	0.014759
392	0.029407
455	0.005868
477	0.012049
481	0.016723
495	0.007076
503	0.017182
587	0.007182
594	0.007425
605	0.026009
625	0.014446
654	0.014839
677	0.009368
681	0.018977
711	0.011990
768	0.013064
937	0.009671
963	0.008038
994	0.016946
1027	0.009120
1066	0.011980
1072	0.021478
1176	0.009190
1222	0.015273
1329	0.026009
1338	0.018618
1345	0.017773
1443	0.022230
1466	0.010261
1521	0.004453
1539	0.050926
1630	0.030734
1632	0.015591
1661	0.012987
1702	0.014979
1761	0.015591
1807	0.030858
1816	0.034031
1821	0.014573
1893	0.026555
1894	0.011114
1906	0.023150
1924	0.015591
1956	0.005745
1969	0.005931
2078	0.005837
2105	0.023173
2124	0.013550
2165	0.008514
2245	0.037955
2246	0.023150
2264	0.006419
2272	0.012900
2303	0.023150
2354	0.004237
2371	0.020110
2383	0.026009
2471	0.012900
2628	0.003428
2648	0.009914
2664	0.010592
2724	0.014573
2817	0.013652
2931	0.011344
3038	0.020291
3057	0.014322
3101	0.026009
3131	0.012987
3132	0.012491
3152	0.009296
3178	0.016310
3293	0.014979
3299	0.011114
3321	0.040651
3405	0.009405
3407	0.020291
3439	0.014322
3440	0.011310
3458	0.016723
3464	0.016511
3559	0.011713
3569	0.014203
3594	0.013076
3597	0.010172
3654	0.023150
3656	0.016723
3688	0.017698
3734	0.009260
3756	0.013468
3762	0.007402
3788	0.021901
3802	0.009442
3888	0.013392
3915	0.003733
3962	0.055895
3982	0.013757
3996	0.037955
4047	0.024337
4056	0.007182
4075	0.010041
4078	0.017372
4079	0.019370
4098	0.006313
4102	0.005715
4223	0.010353
4240	0.011114
4316	0.019256
4378	0.009260
4406	0.026988
4443	0.018618
4447	0.009339
4471	0.022230
4478	0.017983
4499	0.014704
4551	0.016946
4650	0.017970
4743	0.026009
4767	0.006871
4817	0.015273
4822	0.005153
4866	0.026009
4910	0.030547
4921	0.008426
4939	0.015429
4967	0.006527
4987	0.017432
5030	0.010897
5036	0.011911
5046	0.009086
5064	0.011059
5144	0.074194
5185	0.018288
5220	0.005424
5232	0.014704
5245	0.011403
5315	0.013451
5397	0.009086
5399	0.026009
5429	0.008544
5517	0.017983
5622	0.027569
5644	0.033023
5836	0.024504
5839	0.016024
5994	0.010592
6001	0.015840
6006	0.021417
6047	0.039610
6059	0.006812
6115	0.010897
6143	0.008635
6155	0.014150
6177	0.017182
6179	0.010543
6202	0.007857
6207	0.013278
6244	0.012626
6353	0.005382
6394	0.016946
6445	0.014257
6447	0.026009
6558	0.023150
6577	0.005791
6650	0.006891
6705	0.014203
6742	0.048674
6743	0.021478
6784	0.014320
6806	0.046772
6927	0.009260
6945	0.011490
6991	0.013076
7035	0.006044
7168	0.004910
7200	0.018520
7251	0.008368
7254	0.012400
7278	0.026009
7282	0.044459
7371	0.010845
7384	0.018977
7388	0.010641
7417	0.008311
7436	0.019370
7455	0.016511
7456	0.017698
7466	0.018977
7476	0.004532
7477	0.009775
7481	0.011649
7500	0.011958
7529	0.007301
7532	0.017698
7538	0.012650
7587	0.026009
7638	0.026009
7796	0.026009
7810	0.023823
7825	0.012488
7829	0.011911
7864	0.016946
7944	0.023574
7956	0.017698
7974	0.018977
8024	0.023150
8158	0.006753
8313	0.011844
8316	0.005636
8331	0.012049
8377	0.029494
8394	0.025140
8404	0.009711
8432	0.014704
8445	0.012987
8515	0.026009
8535	0.014573
8653	0.013451
8671	0.016946
8691	0.018618
8699	0.015416
8744	0.008759
8745	0.016737
8816	0.202909
8858	0.011004
8859	0.009671
8860	0.013451
8884	0.013652
8940	0.011524
8948	0.010897
8958	0.026009
8991	0.008283
9018	0.018991
9019	0.052019
9020	0.026009
9146	0.024337
9329	0.008363
9330	0.031870
9436	0.005046
9537	0.008368
9569	0.007203
9607	0.022570
9616	0.008426
9647	0.007247
9660	0.014322
9706	0.015123
9765	0.018977
9837	0.019805
9889	0.004800
9911	0.013652
9986	0.013550
9995	0.013663
10073	0.019912
10098	0.012650
10102	0.018450
10132	0.010128
10133	0.017904
10136	0.011463
10159	0.008696
10184	0.011059
10223	0.020291
10310	0.017954
10384	0.017813
10639	0.010172
10675	0.017698
10741	0.009552
10807	0.017182
10813	0.015591
10822	0.023150
10942	0.042955
10951	0.006473
10970	0.008604
10971	0.009593
10994	0.016511
11027	0.003283
11058	0.010227
11087	0.017182
11097	0.007335
11116	0.011004
11133	0.009872
11136	0.009260
11147	0.013076
11163	0.026009
11165	0.020842
11208	0.005011
11228	0.010592
11309	0.016118
11310	0.005158
11448	0.019370
11449	0.022230
11487	0.035186
11620	0.010464
11688	0.015759
11741	0.020291
11759	0.016910
11767	0.147170
11768	0.104605
11817	0.016076
11870	0.026009
11918	0.028219
11928	0.026009
11985	0.016723
12009	0.018328
12095	0.026009
12174	0.012352
12192	0.006567
12230	0.026009
12252	0.026285
